Запрос;Страница;Позиция;Базовая частотность;Очень точная частотность;Эффективность ключевого слова;Количество слов в запросе;Количество объявлений;Документов найдено;Средняя цена клика;Является топонимом;Является вопросом;Число колдунщиков;Новый запрос;Изменение позиции;Смена URL;Дата выдачи;
"достопримечательности бонна на немецком";"http://citysee.ru/europe/zapadnaya/germaniya/bonn-germaniya-dostoprimechatelnosti.html";1;4;1;24;4;3;2000000;0;0;0;1;0;0;0;"07.01.2020"
"витебск достопримечательности и туристические маршруты";"http://citysee.ru/europe/vostochnaya/belarusian/vitebsk-dostoprimechatelnosti-i-turisticheskie-marshrutyi.html";1;25;20;79;5;4;3000000;0.1;0;0;1;0;1;0;"05.01.2020"
"звенигород достопримечательности зимой";"http://citysee.ru/russia/tsfo/moskovskaya-oblast/zvenigorod-dostoprimechatelnosti-chto-posmotret-za-odin-den.html";1;44;7;15;3;1;2000000;3.16;0;0;1;0;2;0;"07.01.2020"
"звенигород достопримечательности маршрут";"http://citysee.ru/russia/tsfo/moskovskaya-oblast/zvenigorod-dostoprimechatelnosti-chto-posmotret-za-odin-den.html";1;11;1;8;3;2;2000000;0.04;0;0;1;0;0;0;"07.01.2020"
"главные достопримечательности кремля";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;199;1;0;3;1;4000000;5.92;0;0;2;0;0;0;"06.01.2020"
"дьер венгрия достопримечательности";"http://citysee.ru/europe/vostochnaya/vengriya/dyor-vengriya-dostoprimechatelnosti.html";1;90;64;71;3;2;875000;3.6;0;0;1;0;1;0;"07.01.2020"
"достопримечательности славянска на кубани фото с описанием";"http://citysee.ru/russia/yufo/krasnodarskiy-kray/slavyansk-na-kubani-dostoprimechatelnosti.html";1;25;17;67;7;0;8000000;0.04;0;0;1;0;0;0;"27.11.2019"
"описание достопримечательностей кремля";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;94;1;1;3;0;4000000;1.38;0;0;1;0;1;0;"09.01.2020"
"сегед венгрия достопримечательности";"http://citysee.ru/europe/vostochnaya/vengriya/seged-vengriya-dostoprimechatelnosti.html";1;43;37;86;3;2;933000;4.56;0;0;1;0;1;0;"10.01.2020"
"какие достопримечательности в кремле";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;62;4;6;4;0;690000;1.06;0;0;2;0;1;0;"07.01.2020"
"пассау достопримечательности";"http://citysee.ru/europe/zapadnaya/germaniya/passau-germaniya-dostoprimechatelnosti.html";1;132;24;18;2;2;693000;0.58;0;0;1;0;1;0;"10.01.2020"
"достопримечательности москвы кремль";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;480;32;6;3;4;6000000;3.08;1;0;1;0;0;0;"07.01.2020"
"достопримечательности кремля в 16 веке";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;1;1;98;5;1;2000000;0;0;0;1;0;0;0;"07.01.2020"
"достопримечательности москвы московский кремль";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;58;6;10;4;4;6000000;0.5;1;0;1;0;0;0;"07.01.2020"
"достопримечательности московского кремля";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;754;74;9;3;4;7000;3.06;0;0;2;0;0;0;"07.01.2020"
"достопримечательности города сарова";"http://citysee.ru/russia/pfo/nizhegorodskaya-oblast/sarov-dostoprimechatelnosti-goroda.html";1;60;5;8;3;0;4000000;0.1;1;0;1;0;0;0;"07.01.2020"
"достопримечательности россии кремль";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;117;4;3;3;1;6000000;0.56;0;0;2;0;0;0;"07.01.2020"
"достопримечательности сарова";"http://citysee.ru/russia/pfo/nizhegorodskaya-oblast/sarov-dostoprimechatelnosti-goroda.html";1;288;59;20;2;0;1000000;1.2;1;0;1;0;0;0;"07.01.2020"
"достопримечательность кремль";"http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html";1;2509;4;0;2;1;2000000;5.54;0;0;1;0;0;0;"07.01.2020"
"достопримечательности сарова нижегородской области";"http://citysee.ru/russia/pfo/nizhegorodskaya-oblast/sarov-dostoprimechatelnosti-goroda.html";1;8;5;62;4;0;4000000;0.1;1;0;1;0;0;0;"07.01.2020"
"город саров достопримечательности";"http://citysee.ru/russia/pfo/nizhegorodskaya-oblast/sarov-dostoprimechatelnosti-goroda.html";1;60;5;8;3;0;4000000;0.1;1;0;1;0;0;0;"07.01.2020"
"памятники города березники пермского края";"http://citysee.ru/russia/pfo/permskiy-kray/berezniki-permskij-kraj-dostoprimechatelnosti.html";1;4;1;24;5;2;6000000;0.04;1;0;1;0;0;0;"10.01.2020"
"музеи города березники";"http://citysee.ru/russia/pfo/permskiy-kray/berezniki-permskij-kraj-dostoprimechatelnosti.html";1;41;4;9;3;0;5000000;0.04;1;0;2;0;8;0;"09.01.2020"
"соликамск достопримечательности города";"http://citysee.ru/russia/pfo/permskiy-kray/solikamsk-dostoprimechatelnosti-goroda.html";1;78;11;14;3;1;4000000;0.04;1;0;1;0;1;0;"12.01.2020"
"памятник чайковскому в чайковском";"http://citysee.ru/russia/pfo/permskiy-kray/chajkovskij-dostoprimechatelnosti-goroda.html";1;1213;6;0;4;0;866000;15.48;1;0;2;0;1;0;"10.01.2020"
"альметьевск фото города достопримечательности";"http://citysee.ru/russia/pfo/respublika-tatarstan/almetevsk-dostoprimechatelnosti-goroda.html";1;13;3;22;4;0;7000000;0;1;0;1;0;1;0;"05.01.2020"
"достопримечательности альметьевска описание";"http://citysee.ru/russia/pfo/respublika-tatarstan/almetevsk-dostoprimechatelnosti-goroda.html";1;40;2;4;3;0;380000;0.04;1;0;1;0;0;0;"07.01.2020"
"рассказ об альметьевске";"http://citysee.ru/russia/pfo/respublika-tatarstan/almetevsk-dostoprimechatelnosti-goroda.html";1;10;1;9;3;0;2000000;0.04;1;0;1;0;0;0;"10.01.2020"
"чем славится бугульма";"http://citysee.ru/russia/pfo/respublika-tatarstan/bugulma-dostoprimechatelnosti-goroda.html";1;6;2;33;3;1;272000;0;1;0;2;0;1;0;"12.01.2020"
"памятники нижнекамска";"http://citysee.ru/russia/pfo/respublika-tatarstan/nizhnekamsk-dostoprimechatelnosti-goroda.html";1;390;8;2;2;0;862000;4.62;1;0;2;0;2;0;"10.01.2020"
