Page;[Wordstat];[!Wordstat];Traffic10;Traffic15;QueryCount
http://citysee.ru/europe/vostochnaya/belarusian/brest-dostoprimechatelnosti-goroda.html;8135333;25313;635,8025999999999;1089,9058999999995;257
http://citysee.ru/russia/pfo/respublika-tatarstan/almetevsk-dostoprimechatelnosti-goroda.html;3239882;18054;528,0956;874,3157999999996;149
http://citysee.ru/russia/szfo/murmanskaya-oblast/kirovsk-murmanskaya-oblast-dostoprimechatelnosti.html;827259;16455;498,3522000000001;1017,9627000000002;97
http://citysee.ru/russia/gorod-federalnogo-znacheniya/teatryi-sankt-peterburga-spisok.html;3310074;11393;340,2045000000002;483,1848999999999;249
http://citysee.ru/russia/szfo/murmanskaya-oblast/apatityi-dostoprimechatelnosti-goroda.html;861020;10674;325,24889999999994;524,0088999999998;59
http://citysee.ru/russia/yufo/rostovskaya-oblast/rostov-na-donu-dostoprimechatelnosti-goroda.html;10263976;7236;257,8884;473,96219999999994;165
http://citysee.ru/russia/pfo/permskiy-kray/berezniki-permskij-kraj-dostoprimechatelnosti.html;1454203;10506;247,36620000000002;409,083;166
http://citysee.ru/russia/pfo/permskiy-kray/chajkovskij-dostoprimechatelnosti-goroda.html;1820306;6999;220,0104999999999;428,2658999999998;130
http://citysee.ru/russia/skfo/respublika-dagestan/kaspijsk-dostoprimechatelnosti.html;850775;5292;201,17250000000007;240,32029999999997;65
http://citysee.ru/europe/yuzhnaya/italiya/bari-italiya-dostoprimechatelnosti.html;169299;6285;193,36359999999996;288,8756000000001;68
http://citysee.ru/russia/tsfo/moskovskaya-oblast/chehov-dostoprimechatelnosti-goroda.html;754090;6248;179,99200000000002;367,2924999999998;75
http://citysee.ru/russia/sfo/irkutskaya-oblast/irkutsk-dostoprimechatelnosti-goroda.html;2206736;5426;159,11530000000013;296,7999999999999;209
http://citysee.ru/russia/pfo/nizhegorodskaya-oblast/gorod-bor-nizhegorodskaya-oblast-dostoprimechatelnosti.html;4954475;15739;158,04919999999998;258,23740000000004;178
http://citysee.ru/russia/szfo/kaliningradskaya-oblast/gvardejsk-kaliningradskaya-oblast-dostoprimechatelnosti.html;445111;1658;155,02179999999998;239,3739;34
http://citysee.ru/europe/vostochnaya/belarusian/borisov-dostoprimechatelnosti-goroda.html;5228502;6448;153,09720000000004;326,84680000000003;103
http://citysee.ru/russia/szfo/leningradskaya-oblast/lodejnoe-pole-dostoprimechatelnosti.html;395960;3485;144,4507;325,3638999999999;40
http://citysee.ru/russia/pfo/nizhegorodskaya-oblast/gorodets-dostoprimechatelnosti-chto-posmotret-za-odin-den.html;397502;7227;138,29240000000004;315,29470000000003;108
http://citysee.ru/russia/tsfo/tverskaya-oblast/tver-dostoprimechatelnosti-chto-posmotret-za-1-den.html;3252059;2451;116,23359999999998;131,75119999999998;90
http://citysee.ru/russia/gorod-federalnogo-znacheniya/moskovskiy-kreml-dostoprimechatelnosti.html;4010564;36043;113,4444999999999;198,05209999999985;606
http://citysee.ru/russia/pfo/saratovskaya-oblast/saratov-dostoprimechatelnosti-goroda.html;10934781;11269;112,53760000000004;254,98739999999995;355
http://citysee.ru/europe/yuzhnaya/italiya/rimini-italiya-dostoprimechatelnosti.html;213072;11983;110,9999;235,7695;115
http://citysee.ru/russia/sfo/irkutskaya-oblast/bratsk-dostoprimechatelnosti-goroda.html;5796053;20114;110,29619999999996;187,5375000000001;193
http://citysee.ru/russia/tsfo/kaluzhskaya-oblast/kaluga-dostoprimechatelnosti-chto-posmotret-za-1-den.html;24534;3057;108,36329999999998;156,71219999999994;77
http://citysee.ru/europe/zapadnaya/germaniya/frankfurt-na-majne-dostoprimechatelnosti.html;808588;13006;106,37830000000001;359,67229999999995;122
http://citysee.ru/russia/tsfo/kaluzhskaya-oblast/kirov-kaluzhskaya-oblast-dostoprimechatelnosti-goroda.html;126401;3055;101,4893;115,47910000000005;35
http://citysee.ru/europe/yuzhnaya/portugaliya/faru-portugaliya-dostoprimechatelnosti.html;3078648;1583;95,94100000000003;135,14550000000003;35
http://citysee.ru/russia/tsfo/tverskaya-oblast/staritsa-tverskaya-oblast-dostoprimechatelnosti.html;321504;2738;94,68230000000003;210,86729999999991;41
http://citysee.ru/europe/yuzhnaya/portugaliya/sintra-portugaliya-dostoprimechatelnosti.html;40469;2708;94,4989;156,4027;74
http://citysee.ru/russia/skfo/respublika-dagestan/izberbash-dostoprimechatelnosti.html;95164;2765;93,8171;188,80129999999997;29
http://citysee.ru/russia/yufo/volgogradskaya-oblast/kalach-na-donu-dostoprimechatelnosti.html;342552;2922;90,25530000000002;186,22299999999998;20
http://citysee.ru/russia/pfo/respublika-tatarstan/gorodskoy-okrug-gorod-kazan-dostoprimechatelnosti.html;412361;4254;88,77650000000001;190,22900000000004;33
http://citysee.ru/russia/pfo/permskiy-kray/solikamsk-dostoprimechatelnosti-goroda.html;1326491;3016;88,36710000000004;141,87840000000003;110
http://citysee.ru/russia/tsfo/tverskaya-oblast/rzhev-dostoprimechatelnosti-goroda.html;424137;3749;87,8979;201,05319999999998;31
http://citysee.ru/russia/pfo/udmurtskaya-respublika/izhevsk-dostoprimechatelnosti-goroda.html;1587011;4179;84,42649999999998;156,1914;238
http://citysee.ru/russia/sfo/omskaya-oblast/omsk-dostoprimechatelnosti-interesnyie-mesta.html;12266205;4443;83,93769999999999;169,40739999999994;306
http://citysee.ru/russia/pfo/respublika-tatarstan/nizhnekamsk-dostoprimechatelnosti-goroda.html;2906165;3795;83,68769999999998;159,40679999999998;182
http://citysee.ru/russia/sfo/krasnoyarskiy-kray/krasnoyarsk-dostoprimechatelnosti-goroda.html;3229902;6557;82,99759999999998;185,42899999999997;195
http://citysee.ru/europe/vostochnaya/vengriya/dyor-vengriya-dostoprimechatelnosti.html;11966;1688;78,56669999999998;117,81990000000002;48
http://citysee.ru/europe/zapadnaya/germaniya/lyubek-germaniya-dostoprimechatelnosti.html;23202;1725;75,90709999999999;106,9854;36
http://citysee.ru/russia/pfo/udmurtskaya-respublika/sarapul-dostoprimechatelnosti-goroda.html;787080;10555;75,84209999999996;245,61349999999996;204
http://citysee.ru/russia/skfo/respublika-dagestan/bujnaksk-dostoprimechatelnosti.html;352621;2799;75,55059999999999;119,4573;28
http://citysee.ru/europe/vostochnaya/belarusian/gomel-dostoprimechatelnosti-goroda.html;8623822;20446;74,05759999999998;182,80569999999992;239
http://citysee.ru/russia/pfo/permskiy-kray/gorodskoy-okrug-gorod-perm-dostoprimechatelnosti.html;1484077;12485;73,9349;157,3594;263
http://citysee.ru/russia/tsfo/moskovskaya-oblast/zvenigorod-dostoprimechatelnosti-chto-posmotret-za-odin-den.html;434323;13203;71,2286;119,81509999999997;58
http://citysee.ru/europe/zapadnaya/francziya/marsel-francziya-dostoprimechatelnosti.html;980276;2966;66,3237;97,28569999999996;76
http://citysee.ru/russia/tsfo/yaroslavskaya-oblast/pereslavl-zalesskiy-dostoprimechatelnosti-chto-posmotret-za-odin-den.html;714623;16495;65,95649999999999;631,8410000000001;67
http://citysee.ru/russia/gorod-federalnogo-znacheniya/vdnh-moskva-chto-posmotret.html;644246;10563;65,12030000000003;136,83790000000008;468
http://citysee.ru/russia/pfo/nizhegorodskaya-oblast/dzerzhinsk-nizhegorodskaya-oblast-dostoprimechatelnosti.html;5970653;7912;65,0294;259,89210000000014;232
http://citysee.ru/russia/tsfo/vladimirskaya-oblast/murom-dostoprimechatelnosti-chto-posmotret-za-odin-den.html;18214;1735;64,99889999999999;71,38879999999999;32
http://citysee.ru/europe/zapadnaya/germaniya/berlin-dostoprimechatelnosti-goroda.html;3731387;25846;64,48340000000002;686,7459000000001;191
